categoria,nombre,telefono,email,website,direccion,comuna,ciudad,latitud,longitud,instagram,facebook,notas
seguro,Cacttus,,soporte@cacttus.cl,https://www.cacttus.cl,,,Santiago,-33.4489,-70.6693,@cacttus.cl,CacttusCL,"Desde $11.600/mes. Mini 60% / Care 70% / Care+ 90%. App iOS/Android. TikTok: @cacttus.cl"
seguro,WOOF! Seguros,+56 2 2712 0483,contacto@woofinsurtech.com,https://www.woof.cl,"Cerro El Plomo 5555, Of. 402",Las Condes,Santiago,-33.4103,-70.5770,@woofseguros,woofseguros,"Desde $18.950/mes. Reembolso 90%. Asistencia 24/7"
seguro,Pawer,+56 9 9879 2181,,https://www.somospawer.com,,,Santiago,-33.4489,-70.6693,@somospawer,,"Desde $14.900/mes. Opera en CL/PE/ES/MX. WhatsApp"
seguro,BCI Seguros — Pata Segura,,,https://www.bciseguros.cl,,,Santiago,-33.4489,-70.6693,,,"Desde $3.890/mes"
seguro,MACH Mascotas,,,https://www.mach.cl,,,Santiago,-33.4489,-70.6693,,,"Desde $3.317/mes — mas economico"
seguro,Amerins,,,https://www.amerins.cl,,,Santiago,-33.4489,-70.6693,,,"Desde $28.212/mes. Sitio con acceso restringido"
seguro,Zenit Seguros,+56 9 4288 8826,,https://www.zenitseguros.cl/,"Av. Manquehue Norte 290, Of. 01 (Sub 1)",Las Condes,Santiago,-33.3980,-70.5770,@ZenitSeguros,@ZenitSeguros,"Seguro RC Mascota: perros, gatos y exoticos. 100% online. Lun-Vie 9-14h. Tel fijo: 600 299 3648"
seguro,Scotiabank Pet (BNP Paribas Cardif),,,,,,,,,,,,"$19.896/mes. URL no encontrada"
seguro,CuidaPet 360,,,,,,,,,,,,,"$124.990/ano (~$10.416/mes). Sitio caido"
seguro,Southbridge,,,https://www.southbridgeseguros.cl/,,,,,,,,"Producto de mascotas no encontrado en sitio"
seguro,Seguros Falabella,,,https://www.segurosfalabella.com/,,,,,,,,"Sitio bloquea scraping (403)"
seguro,Corredora Security,,,https://www.security.cl/,,,,,,,,"Sitio bloquea scraping (403)"
seguro,Coopeuch,,,https://www.coopeuch.cl/,,,,,,,,"Sitio bloquea scraping (403)"
tienda,SuperZoo Ahumada,+56 9 7109 5758,ventas@superzoo.cl,https://www.superzoo.cl,Ahumada 327,Santiago,Santiago,-33.4400,-70.6536,@superzoo.cl,,
tienda,SuperZoo Nunoa,+56 9 9542 0629,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Salvador 1822, Local 6",Nunoa,Santiago,-33.4530,-70.5980,@superzoo.cl,,
tienda,SuperZoo Portal El Llano,+56 9 9542 0392,ventas@superzoo.cl,https://www.superzoo.cl,"Av. El Llano Subercaseaux 3519 A, local 2002",San Miguel,Santiago,-33.4980,-70.6510,@superzoo.cl,,
tienda,SuperZoo Alferez Real,+56 9 9991 3361,ventas@superzoo.cl,https://www.superzoo.cl,Av. Manuel Montt 1141,Providencia,Santiago,-33.4350,-70.6130,@superzoo.cl,,
tienda,SuperZoo Providencia,+56 9 3863 9973,ventas@superzoo.cl,https://www.superzoo.cl,Av. Providencia 1275,Providencia,Santiago,-33.4310,-70.6190,@superzoo.cl,,
tienda,SuperZoo San Miguel,+56 9 9542 0186,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Salvador Allende 1334, Local 2",San Miguel,Santiago,-33.4975,-70.6515,@superzoo.cl,,
tienda,SuperZoo Portal Nunoa,+56 9 9448 9701,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Jose Pedro Alessandri 1166, local 2008",Nunoa,Santiago,-33.4560,-70.5990,@superzoo.cl,,
tienda,SuperZoo Costanera Center,+56 9 9426 6986,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Andres Bello 2447, local 280",Providencia,Santiago,-33.4175,-70.6070,@superzoo.cl,,
tienda,SuperZoo Colon,+56 9 9391 4767,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Cristobal Colon 4455, Local A",Las Condes,Santiago,-33.4150,-70.5880,@superzoo.cl,,
tienda,SuperZoo Plaza Egana,+56 9 3446 4401,ventas@superzoo.cl,https://www.superzoo.cl,Av. Larrain 5862,La Reina,Santiago,-33.4480,-70.5510,@superzoo.cl,,
tienda,SuperZoo Florida Center,+56 9 9423 0828,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Vicuna Mackenna 6100, local 119",La Florida,Santiago,-33.5170,-70.5980,@superzoo.cl,,
tienda,SuperZoo Lo Castillo,+56 9 9093 6605,ventas@superzoo.cl,https://www.superzoo.cl,Vitacura 3790,Vitacura,Santiago,-33.3940,-70.5890,@superzoo.cl,,
tienda,SuperZoo La Reina,+56 9 9543 9595,ventas@superzoo.cl,https://www.superzoo.cl,Monsenor Edwards 872,La Reina,Santiago,-33.4450,-70.5480,@superzoo.cl,,
tienda,SuperZoo Parque Arauco,+56 9 9141 8757,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Kennedy 5413, local 69, nivel -2",Las Condes,Santiago,-33.4010,-70.5770,@superzoo.cl,,
tienda,SuperZoo Plaza Vespucio,+56 9 6541 2569,ventas@superzoo.cl,https://www.superzoo.cl,"Av. Vicuna Mackenna 7110, Local A-110",La Florida,Santiago,-33.5260,-70.5970,@superzoo.cl,,
