timestamp,refugio,email,status,error
2026-04-24T23:04:09.277269,PREVIEW,pawfriendcl@gmail.com,sent,
2026-04-24T23:08:46.585343,PREVIEW,pawfriendcl@gmail.com,sent,
2026-04-27T17:16:15.386426,PREVIEW,pawfriendcl@gmail.com,sent,
2026-04-27T17:17:57.437632,Proanimal,contacto@proanimal.cl,sent,
2026-04-27T17:18:31.782786,Refugio El Arca,refugioelarca@gmail.com,sent,
2026-04-27T17:19:05.809433,Adoptame.cl,hola@adoptame.cl,sent,
2026-04-27T17:19:39.803194,Fundación Galgos Chile,galgoschile@gmail.com,sent,
2026-04-27T17:20:13.719650,Refugio Voz Animal,vozanimalrefugio@gmail.com,sent,
2026-04-27T17:23:25.704523,Fundación Ayuda Callejeros,ayuda.callejerosong@gmail.com,sent,
2026-04-27T17:23:58.967670,Refugio Animal Cascada,contact@refugioanimalcascada.org,sent,
2026-04-27T17:24:33.528555,Fundación EDRA,Socios@edra.cl,sent,
2026-04-27T17:25:06.673292,Refugio Dhermes,dhermeshermanosmenores@gmail.com,sent,
2026-04-27T17:25:40.535912,Fundación Dolz,fundaciongatodolz@gmail.com,sent,
2026-04-27T17:26:13.845258,Refugio Patitas Sin Hogar,Refugiopatitasinhogar@gmail.com,sent,
2026-04-27T17:26:48.244384,Fundación Animalia,contacto@animalia.cl,sent,
2026-04-27T17:27:21.625433,Fundación Alma Chile,contacto@fundacionalmachile.com,sent,
